"REF_DATE","GEO","DGUID","Age","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002/2003","New Brunswick","2016A000213","11 years","Males","Number","223","units ","0","v66462020","5.10.2","4821","","","","0"
"2002/2003","New Brunswick","2016A000213","11 years","Females","Number","223","units ","0","v66462021","5.10.3","4539","","","","0"
"2002/2003","New Brunswick","2016A000213","12 years","Total, sex","Number","223","units ","0","v66462022","5.11.1","9738","","","","0"
"2002/2003","New Brunswick","2016A000213","12 years","Males","Number","223","units ","0","v66462023","5.11.2","4911","","","","0"
"2002/2003","New Brunswick","2016A000213","12 years","Females","Number","223","units ","0","v66462024","5.11.3","4827","","","","0"
"2002/2003","New Brunswick","2016A000213","13 years","Total, sex","Number","223","units ","0","v66462025","5.12.1","9348","","","","0"
"2002/2003","New Brunswick","2016A000213","13 years","Males","Number","223","units ","0","v66462026","5.12.2","4734","","","","0"
"2002/2003","New Brunswick","2016A000213","13 years","Females","Number","223","units ","0","v66462027","5.12.3","4614","","","","0"
"2002/2003","New Brunswick","2016A000213","14 years","Total, sex","Number","223","units ","0","v66462028","5.13.1","9456","","","","0"
"2002/2003","New Brunswick","2016A000213","14 years","Males","Number","223","units ","0","v66462029","5.13.2","4848","","","","0"
"2002/2003","New Brunswick","2016A000213","14 years","Females","Number","223","units ","0","v66462030","5.13.3","4608","","","","0"
"2002/2003","New Brunswick","2016A000213","15 years","Total, sex","Number","223","units ","0","v66462031","5.14.1","9474","","","","0"
"2002/2003","New Brunswick","2016A000213","15 years","Males","Number","223","units ","0","v66462032","5.14.2","4914","","","","0"
"2002/2003","New Brunswick","2016A000213","15 years","Females","Number","223","units ","0","v66462033","5.14.3","4563","","","","0"
"2002/2003","New Brunswick","2016A000213","16 years","Total, sex","Number","223","units ","0","v66462034","5.15.1","9651","","","","0"
"2002/2003","New Brunswick","2016A000213","16 years","Males","Number","223","units ","0","v66462035","5.15.2","4950","","","","0"
"2002/2003","New Brunswick","2016A000213","16 years","Females","Number","223","units ","0","v66462036","5.15.3","4701","","","","0"
"2002/2003","New Brunswick","2016A000213","17 years","Total, sex","Number","223","units ","0","v66462037","5.16.1","7812","","","","0"
"2002/2003","New Brunswick","2016A000213","17 years","Males","Number","223","units ","0","v66462038","5.16.2","4005","","","","0"
"2002/2003","New Brunswick","2016A000213","17 years","Females","Number","223","units ","0","v66462039","5.16.3","3810","","","","0"
"2002/2003","New Brunswick","2016A000213","18 years","Total, sex","Number","223","units ","0","v66462040","5.17.1","2181","","","","0"
"2002/2003","New Brunswick","2016A000213","18 years","Males","Number","223","units ","0","v66462041","5.17.2","1401","","","","0"
"2002/2003","New Brunswick","2016A000213","18 years","Females","Number","223","units ","0","v66462042","5.17.3","780","","","","0"
"2002/2003","New Brunswick","2016A000213","19 years","Total, sex","Number","223","units ","0","v66462043","5.18.1","588","","","","0"
"2002/2003","New Brunswick","2016A000213","19 years","Males","Number","223","units ","0","v66462044","5.18.2","399","","","","0"
"2002/2003","New Brunswick","2016A000213","19 years","Females","Number","223","units ","0","v66462045","5.18.3","189","","","","0"
"2002/2003","New Brunswick","2016A000213","20 years","Total, sex","Number","223","units ","0","v66462046","5.19.1","138","","","","0"
"2002/2003","New Brunswick","2016A000213","20 years","Males","Number","223","units ","0","v66462047","5.19.2","84","","","","0"
"2002/2003","New Brunswick","2016A000213","20 years","Females","Number","223","units ","0","v66462048","5.19.3","54","","","","0"
"2002/2003","New Brunswick","2016A000213","21 years and over","Total, sex","Number","223","units ","0","v66462049","5.20.1","42","","","","0"
"2002/2003","New Brunswick","2016A000213","21 years and over","Males","Number","223","units ","0","v66462050","5.20.2","15","","","","0"
"2002/2003","New Brunswick","2016A000213","21 years and over","Females","Number","223","units ","0","v66462051","5.20.3","27","","","","0"
"2002/2003","Quebec","2016A000224","Total, age","Total, sex","Number","223","units ","0","v66462052","6.1.1","994971","","","","0"
"2002/2003","Quebec","2016A000224","Total, age","Males","Number","223","units ","0","v66462053","6.1.2","511029","","","","0"
"2002/2003","Quebec","2016A000224","Total, age","Females","Number","223","units ","0","v66462054","6.1.3","483942","","","","0"
"2002/2003","Quebec","2016A000224","4 years","Total, sex","Number","223","units ","0","v66462058","6.3.1","15492","","","","0"
"2002/2003","Quebec","2016A000224","4 years","Males","Number","223","units ","0","v66462059","6.3.2","7917","","","","0"
"2002/2003","Quebec","2016A000224","4 years","Females","Number","223","units ","0","v66462060","6.3.3","7575","","","","0"
"2002/2003","Quebec","2016A000224","5 years","Total, sex","Number","223","units ","0","v66462061","6.4.1","75849","","","","0"
"2002/2003","Quebec","2016A000224","5 years","Males","Number","223","units ","0","v66462062","6.4.2","38847","","","","0"
